importance,author,title,table_name,keywords,Left/Right,Name,Broadman Area,t,X(R),Y(A),Z(S),z-score,NV,p value,cluster size,index_col,MNIX,MNIY,MNIZ,BA,TALX,TALY,TALZ,BA_name,BA_no
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive,R.,posterior cingulate,23,,2,-60,14,3.63,,0.005,,389,2,-62,12,Right-SecVisual (18),2,-60,14,Right-SecVisual ,18.0
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 2 - Foci of maximally activated brain regions in response to high-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; high calorie,L.,superior frontal gyrus,8,,-24,41,40,5.61,,0.05,,390,-25,40,44,Left-dlPFC(dorsal) (9),-24,41,40,Left-dlPFC(dorsal) ,9.0
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 2 - Foci of maximally activated brain regions in response to high-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; high calorie,L.,amygdala,nan,,-20,-1,-20,3.81,,0.0005,,391,-20,2,-27,Left-Amygdala,-20,-1,-20,Left-Amygdala,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 2 - Foci of maximally activated brain regions in response to high-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; high calorie,L.,parahippocampal gyrus,nan,,-36,-3,-18,3.66,,0.0005,,392,-37,0,-25,Outside defined BAs,-36,-3,-18,Outside defined BAs,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 2 - Foci of maximally activated brain regions in response to high-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; high calorie,L.,thalamus,nan,,-4,-12,1,5.45,,0.05,,393,-5,-11,-3,Left-Thalamus,-4,-12,1,Left-Thalamus,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 2 - Foci of maximally activated brain regions in response to high-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; high calorie,L.,middle temporal gyrus,21,,-63,-43,0,3.58,,0.0005,,394,-67,-43,-6,Left-MedTempGyrus (21),-63,-43,0,Left-MedTempGyrus ,21.0
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 2 - Foci of maximally activated brain regions in response to high-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; high calorie,L.,middle temporal gyrus,nan,,-48,-75,24,3.85,,0.0005,,395,-48,-78,23,Outside defined BAs,-48,-75,24,Outside defined BAs,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 2 - Foci of maximally activated brain regions in response to high-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; high calorie,M.,corpus callosum,nan,,2,11,16,4.51,,0.05,,396,3,13,16,Outside defined BAs,2,11,16,Outside defined BAs,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 2 - Foci of maximally activated brain regions in response to high-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; high calorie,M.,cerebellum,nan,,0,-77,-31,4.2,,0.0005,,397,-1,-78,-42,Outside defined BAs,0,-77,-31,Outside defined BAs,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 2 - Foci of maximally activated brain regions in response to high-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; high calorie,R.,brainstem,nan,,8,-29,-41,4.53,,0.05,,398,9,-27,-52,Outside defined BAs,8,-29,-41,Outside defined BAs,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 2 - Foci of maximally activated brain regions in response to high-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; high calorie,R.,cerebellum,nan,,40,-42,-28,4.06,,0.0005,,399,42,-40,-38,Outside defined BAs,40,-42,-28,Outside defined BAs,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 2 - Foci of maximally activated brain regions in response to high-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; high calorie,R.,middle occipital gyrus,37,,51,-66,-7,4.33,,0.0005,,400,50,-66,-14,Right-Fusiform (37),51,-66,-7,Right-Fusiform ,37.0
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 3 - Foci of maximally activated brain regions in response to low-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; low calorie,L.,superior temporal gyrus,21,,-61,-6,-1,3.89,,0.005,,401,-64,-4,-7,Left-SupTempGyrus (22),-61,-6,-1,Left-SupTempGyrus ,22.0
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 3 - Foci of maximally activated brain regions in response to low-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; low calorie,L.,parahippocampal gyrus,28,,-22,-17,-19,3.63,,0.005,,402,-23,-15,-27,Left-Parahipp (36),-22,-17,-19,Left-Parahipp ,36.0
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 3 - Foci of maximally activated brain regions in response to low-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; low calorie,L.,post-central gyrus,40,,-63,-24,18,3.22,,0.005,,403,-66,-24,17,Left-SupramargGyr (40),-63,-24,18,Left-SupramargGyr ,40.0
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 3 - Foci of maximally activated brain regions in response to low-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; low calorie,L.,anterior cerebellum,nan,,-38,-40,-22,3.37,,0.005,,404,-41,-38,-30,Outside defined BAs,-38,-40,-22,Outside defined BAs,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 3 - Foci of maximally activated brain regions in response to low-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; low calorie,L.,lingual gyrus,nan,,-18,-72,-5,3.1,,0.005,,405,-19,-74,-12,Left-SecVisual (18),-18,-72,-5,Left-SecVisual ,18.0
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 3 - Foci of maximally activated brain regions in response to low-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; low calorie,M.,orbitofrontal gyrus,11,,0,52,-16,3.07,,0.005,,406,0,59,-15,Outside defined BAs,0,52,-16,Outside defined BAs,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 3 - Foci of maximally activated brain regions in response to low-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; low calorie,R.,transverse temporal gyrus,nan,,65,-9,10,3.34,,0.005,,407,69,-8,7,Outside defined BAs,65,-9,10,Outside defined BAs,
+,Nieuwenhuis et al,Activity in human reward-sensitive brain areas is strongly context dependent,Table 1-1 -List of reward-sensitive brain areas revealed by contrasting the highest outcome and lowest outcome - Context dependent and independent,fMRI; reward magnitude; reward value; outcome phase; decision making; monetary reward; high gain vs high loss; talairach; gambling;positive reward,R,putamen,nan,8.92,19,7,1,,,0.0005,1481.0,408,20,10,-2,Right-Putamen,19,7,1,Right-Putamen,
+,Nieuwenhuis et al,Activity in human reward-sensitive brain areas is strongly context dependent,Table 1-1 -List of reward-sensitive brain areas revealed by contrasting the highest outcome and lowest outcome - Context dependent and independent,fMRI; reward magnitude; reward value; outcome phase; decision making; monetary reward; high gain vs high loss; talairach; gambling;positive reward,L,globus pallidus,nan,7.16,-14,1,-6,,,0.0005,443.0,409,-14,4,-11,Outside defined BAs,-14,1,-6,Outside defined BAs,
+,Nieuwenhuis et al,Activity in human reward-sensitive brain areas is strongly context dependent,Table 1-2 -List of reward-sensitive brain areas revealed by contrasting the highest outcome and lowest outcome - Context dependent,fMRI; reward magnitude; reward value; outcome phase; decision making; monetary reward; high gain vs high loss; talairach; gambling; context-dependent reward;positive reward,L,caudate nucleus,nan,5.97,-8,4,3,,,0.0005,150.0,410,-8,7,0,Left-Caudate,-8,4,3,Left-Caudate,
+,Nieuwenhuis et al,Activity in human reward-sensitive brain areas is strongly context dependent,Table 1-2 -List of reward-sensitive brain areas revealed by contrasting the highest outcome and lowest outcome - Context dependent,fMRI; reward magnitude; reward value; outcome phase; decision making; monetary reward; high gain vs high loss; talairach; gambling; context-dependent reward;positive reward,L,inferior parietal lobule,nan,6.68,-48,-52,45,,,0.0005,283.0,411,-48,-55,48,Left-AngGyrus (39),-48,-52,45,Left-AngGyrus ,39.0
+,Nieuwenhuis et al,Activity in human reward-sensitive brain areas is strongly context dependent,Table 1-2 -List of reward-sensitive brain areas revealed by contrasting the highest outcome and lowest outcome - Context dependent,fMRI; reward magnitude; reward value; outcome phase; decision making; monetary reward; high gain vs high loss; talairach; gambling; context-dependent reward;positive reward,L,posterior cingulate gyrus,nan,7.64,-2,-35,29,,,0.0005,290.0,412,-3,-37,30,Left-VentPostCing (23),-2,-35,29,Left-VentPostCing ,23.0
+,Nieuwenhuis et al,Activity in human reward-sensitive brain areas is strongly context dependent,Table 1-2 -List of reward-sensitive brain areas revealed by contrasting the highest outcome and lowest outcome - Context dependent,fMRI; reward magnitude; reward value; outcome phase; decision making; monetary reward; high gain vs high loss; talairach; gambling; context-dependent reward;positive reward,L,posterior cingulate sulcus,nan,5.35,-1,-31,47,,,0.0005,63.0,413,-3,-34,51,Left-SensoryAssoc (5),-1,-31,47,Left-SensoryAssoc ,5.0
+,Nieuwenhuis et al,Activity in human reward-sensitive brain areas is strongly context dependent,Table 1-2 -List of reward-sensitive brain areas revealed by contrasting the highest outcome and lowest outcome - Context dependent,fMRI; reward magnitude; reward value; outcome phase; decision making; monetary reward; high gain vs high loss; talairach; gambling; context-dependent reward;positive reward,L,medial frontal gyrus,nan,6.23,-6,7,53,,,0.0005,105.0,414,-7,4,59,Left-PreMot+SuppMot (6),-6,7,53,Left-PreMot+SuppMot ,6.0
+,Nieuwenhuis et al,Activity in human reward-sensitive brain areas is strongly context dependent,Table 1-2 -List of reward-sensitive brain areas revealed by contrasting the highest outcome and lowest outcome - Context dependent,fMRI; reward magnitude; reward value; outcome phase; decision making; monetary reward; high gain vs high loss; talairach; gambling; context-dependent reward;positive reward,L,middle frontal gyrus,nan,5.13,-19,4,59,,,0.0005,60.0,415,-19,0,66,Left-PreMot+SuppMot (6),-19,4,59,Left-PreMot+SuppMot ,6.0
+,Nieuwenhuis et al,Activity in human reward-sensitive brain areas is strongly context dependent,Table 1-2 -List of reward-sensitive brain areas revealed by contrasting the highest outcome and lowest outcome - Context dependent,fMRI; reward magnitude; reward value; outcome phase; decision making; monetary reward; high gain vs high loss; talairach; gambling; context-dependent reward;positive reward,R,cerebellum,nan,6.62,10,-57,-10,,,0.0005,296.0,416,10,-57,-17,Outside defined BAs,10,-57,-10,Outside defined BAs,
+,Nieuwenhuis et al,Activity in human reward-sensitive brain areas is strongly context dependent,Table 1-2 -List of reward-sensitive brain areas revealed by contrasting the highest outcome and lowest outcome - Context dependent,fMRI; reward magnitude; reward value; outcome phase; decision making; monetary reward; high gain vs high loss; talairach; gambling; context-dependent reward;positive reward,L,cerebellum,nan,6.98,-38,-51,-36,,,0.0005,92.0,417,-41,-48,-46,Outside defined BAs,-38,-51,-36,Outside defined BAs,
+,Rademacher et al,Dissociation of neural networks for anticipation and consumption of monetary and social rewards,"Table 1-1 - Brain regions activated for anticipated reward in comparison to the ""no outcome"" condition inclusively masked with the (anticipation_(hit outcome) > consumption_(hit outcome)) contrast (uncorrected p = 0.001) - MID",anticipation phase; monetary reward; MID; fMRI; reward magnitude; talairach; performance-dependent,R,caudate/nacc,nan,,12,12,-1,6.24,,,218.0,418,13,15,-5,Right-Caudate,12,12,-1,Right-Caudate,
+,Rademacher et al,Dissociation of neural networks for anticipation and consumption of monetary and social rewards,"Table 1-1 - Brain regions activated for anticipated reward in comparison to the ""no outcome"" condition inclusively masked with the (anticipation_(hit outcome) > consumption_(hit outcome)) contrast (uncorrected p = 0.001) - MID",anticipation phase; monetary reward; MID; fMRI; reward magnitude; talairach; performance-dependent,L,putamen/nacc,nan,,-18,12,-1,5.36,,,104.0,419,-18,15,-5,Left-Putamen,-18,12,-1,Left-Putamen,
+,Rademacher et al,Dissociation of neural networks for anticipation and consumption of monetary and social rewards,"Table 1-1 - Brain regions activated for anticipated reward in comparison to the ""no outcome"" condition inclusively masked with the (anticipation_(hit outcome) > consumption_(hit outcome)) contrast (uncorrected p = 0.001) - MID",anticipation phase; monetary reward; MID; fMRI; reward magnitude; talairach; performance-dependent,L,precuneus,7,,-12,-65,34,5.12,,,160.0,420,-12,-69,36,Left-VisMotor (7),-12,-65,34,Left-VisMotor ,7.0
